,color,x,y,inner,partcode
95,320,170.0,96.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
96,320,170.0,104.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
97,70,170.0,112.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
98,320,170.0,168.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
99,320,170.0,176.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
107,15,170.0,456.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
109,15,170.0,520.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
110,71,170.0,528.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
111,28,170.0,536.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
112,72,170.0,544.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
113,70,170.0,552.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
116,72,170.0,624.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
123,71,190.0,48.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
124,70,190.0,80.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
125,72,190.0,96.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
126,70,190.0,104.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
127,72,190.0,112.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
128,320,190.0,160.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
130,70,190.0,288.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
135,28,190.0,400.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
136,71,190.0,408.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
139,19,190.0,496.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
141,70,190.0,536.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
144,70,190.0,600.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
145,72,190.0,608.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
146,320,190.0,624.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
153,15,210.0,32.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
154,28,210.0,40.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
155,72,210.0,80.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
156,72,210.0,88.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
157,70,210.0,96.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
158,320,210.0,104.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
159,28,210.0,112.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
160,320,210.0,152.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
161,72,210.0,224.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
163,72,210.0,360.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
168,28,210.0,496.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
169,72,210.0,512.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
